DATAFLOW,LAST UPDATE,freq,frequenc,isced11,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,BE,2022,78.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,BG,2006,52.5,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,BG,2015,53.1,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,BG,2022,21.2,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,CH,2015,96.7,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,CH,2022,97.1,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,CY,2006,88.3,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,CY,2015,82.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,CY,2022,77.5,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,CZ,2006,86.8,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,CZ,2015,92.3,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,CZ,2022,83.5,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,DE,2006,93.5,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,DE,2015,86.7,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,DE,2022,,u,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,DK,2006,97.3,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,DK,2015,96.8,,
